"col0","col1","col2","col3","col4","col5","col6","col7","col8"
"""66c14b06bc8003888862ecf57985bbaf""","""0f58b4e74ba6c90a914d1180358239db""","""39e5a4b3673465ec8051c92c00ae0b2e""","delivered","""2017-12-13 21:20:41""","""2017-12-13 21:30:27""","""2017-12-19 18:04:00""","""2018-01-03 22:53:17""","""2018-01-12 00:00:00"""
"""1a11f2a810e4980ba7cfd5566db2133a""","""2d59365d85be0cd8d7c2bf5085fc3980""","""39d13b38b74fcc2a49485770142c3769""","delivered","""2018-05-05 09:24:20""","""2018-05-08 03:52:43""","""2018-05-08 14:17:00""","""2018-05-15 20:32:48""","""2018-06-01 00:00:00"""
"""c56e40373799e9fb580a236fd5fc72a9""","""446f1f8531a9e0fc2e775045760f3ae6""","""5d9ffaa41b4cbbe75aaa44cf0d5a8770""","delivered","""2017-05-31 10:23:38""","""2017-05-31 10:35:12""","""2017-06-02 14:08:46""","""2017-06-09 15:27:49""","""2017-06-23 00:00:00"""
"""737ecd48032c3cedf3facac4baf28bf3""","""7b516e41a10bc163a829879d49374841""","""1d9c36f1fb67c925df3fa50b231d1b83""","delivered","""2018-03-12 20:08:10""","""2018-03-12 21:47:40""","""2018-03-13 23:03:31""","""2018-03-23 21:48:37""","""2018-04-09 00:00:00"""
"""13d936efcc1a197d00449039d86a442a""","""6b142c885139d6d123cdbccbee286bba""","""4cfa6759af07a2313ece847750793dad""","delivered","""2018-04-20 16:33:24""","""2018-04-24 17:27:48""","""2018-04-23 23:35:30""","""2018-05-04 00:32:55""","""2018-05-16 00:00:00"""
"""2d5b43766328f55157cae1e85e1dd475""","""3c698750daf81aee429cba2bb95cd127""","""1cf843acf6ec395a5d32557daef95f51""","delivered","""2017-07-17 20:38:16""","""2017-07-17 20:50:23""","""2017-07-18 19:41:40""","""2017-07-28 19:21:59""","""2017-08-08 00:00:00"""
"""7f438a7265492dc79496a5fa80f7e5d3""","""8e013361d151da50186977b66b94f7e2""","""c38fe9f0ed142a995885041fe9db52cc""","delivered","""2017-10-14 11:58:43""","""2017-10-14 18:34:40""","""2017-10-17 19:07:48""","""2017-10-24 22:57:44""","""2017-11-17 00:00:00"""
"""dc17587e6349f0e37fabd902991359f4""","""93e72edd85cda53eeebf7289c96061f4""","""85b757074a5477bf9975e7cfc3f574fc""","delivered","""2017-04-24 22:34:23""","""2017-04-24 22:45:11""","""2017-04-26 09:44:09""","""2017-05-10 12:03:42""","""2017-05-16 00:00:00"""
"""4c1265c96a9e9859ce850f9edeb28f6b""","""ae204f1d8d6569165c4b29ab20c321cb""","""eb537a4c480b550d6402a24eadc38ea5""","delivered","""2018-06-14 17:34:06""","""2018-06-15 02:17:19""","""2018-06-15 13:21:00""","""2018-06-21 20:14:40""","""2018-07-12 00:00:00"""
"""e7fbf44c317d9ac6b87b0330fed92f1b""","""707a9c71641641e1e6e3c0f9f3f2a1a9""","""6725a79a0ae85fed5b3a06610875fdf9""","delivered","""2017-08-15 20:44:02""","""2017-08-22 08:45:24""","""2017-08-23 14:45:05""","""2017-08-31 20:06:48""","""2017-09-19 00:00:00"""
